year,state,code,christianity_protestant,christianity_romancatholic,christianity_easternorthodox,christianity_anglican,christianity_other,christianity_all,judaism_orthodox,judaism_conservative,judaism_reform,judaism_other,judaism_all,islam_sunni,islam_shi’a,islam_ibadhi,islam_nationofislam,islam_alawite,islam_ahmadiyya,islam_other,islam_all,buddhism_mahayana,buddhism_theravada,buddhism_other,buddhism_all,zoroastrianism_all,hinduism_all,sikhism_all,shinto_all,baha’i_all,taoism_all,jainism_all,confucianism_all,syncretism_all,animism_all,noreligion_all,otherreligion_all,religion_all,population,protestant_percent,romancatholic_percent,easternorthodox_percent,anglican_percent,otherchristianity_percent,christianity_percent,orthodox_percent,conservative_percent,reform_percent,otherjudaism_percent,judaism_percent,sunni_percent,shi’a_percent,ibadhi_percent,nationofislam_percent,alawite_percent,ahmadiyya_percent,otherislam_percent,islam_percent,mahayana_percent,theravada_percent,otherbuddhism_percent,buddhism_percent,zoroastrianism_percent,hinduism_percent,sikhism_percent,shinto_percent,baha’i_percent,taoism_percent,jainism_percent,confucianism_percent,syncretism_percent,animism_percent,noreligion_percent,otherreligion_percent,religion_sumpercent,total_percent,dual_religion,source_code
2000,Ethiopia,ETH,9723012,434043,26191668,687,1810399,38159809,0,0,0,11950,11950,20402113,206082,0,0,0,0,0,20608195,0,0,0,0,0,4661,0,0,17143,0,0,0,0,3650000,98200,15042,62549958,62565000,0.1554,0.0069,0.4186,0,0.0289,0.6099,0,0,0,0.0002,0.0002,0.3261,0.0033,0,0,0,0,0,0.3294,0,0,0,0,0,0.0001,0,0,0.0003,0,0,0,0,0.0583,0.0016,0.0002,0.9998,1,0,83
2005,Ethiopia,ETH,10227880,450000,30517600,689,975600,42171769,0,0,0,8500,8500,26759000,475000,0,0,0,0,0,27234000,0,0,0,0,0,5471,0,0,18000,0,0,0,0,3500000,79500,26760,73017240,73044000,0.14,0.0062,0.4178,0,0.0134,0.5773,0,0,0,0.0001,0.0001,0.3663,0.0065,0,0,0,0,0,0.3728,0,0,0,0,0,0.0001,0,0,0.0002,0,0,0,0,0.0479,0.0011,0.0004,0.9996,0.9999,0,350
2010,Ethiopia,ETH,14847378,578379,34877700,694,350000,50654152,0,0,0,4500,4500,27906872,425893,0,0,0,0,0,28332765,0,0,0,0,0,6130,0,0,22544,0,0,0,0,3100000,105200,53509,82225291,82278800,0.1805,0.007,0.4239,0,0.0043,0.6156,0,0,0,0.0001,0.0001,0.3392,0.0052,0,0,0,0,0,0.3444,0,0,0,0,0,0.0001,0,0,0.0003,0,0,0,0,0.0377,0.0013,0.0007,0.9993,1.0002,0,210
1995,Eritrea,ERI,31268,119685,1385240,0,3171,1539364,0,0,0,0,0,0,0,0,0,0,0,1542000,1542000,0,0,0,0,0,685,0,0,904,0,0,0,0,20545,60000,7502,3163498,3171000,0.0099,0.0377,0.4368,0,0.001,0.4855,0,0,0,0,0,0,0,0,0,0,0,0.4863,0.4863,0,0,0,0,0,0.0002,0,0,0.0003,0,0,0,0,0.0065,0.0189,0.0024,0.9976,1.0001,0,2
2000,Eritrea,ERI,77000,192500,1540000,0,2703,1812203,0,0,0,0,0,1925000,0,0,0,0,0,0,1925000,0,0,0,0,0,770,0,0,1047,0,0,0,0,33500,65000,12480,3837520,3850000,0.02,0.05,0.4,0,0.0007,0.4707,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.0002,0,0,0.0003,0,0,0,0,0.0087,0.0169,0.0032,0.9968,1,0,83
2005,Eritrea,ERI,89460,223650,1699740,0,0,2012850,0,0,0,0,0,2370690,0,0,0,0,0,0,2370690,0,0,0,0,0,895,0,0,1212,0,0,0,0,31200,55755,398,4472602,4473000,0.02,0.05,0.38,0,0,0.45,0,0,0,0,0,0.53,0,0,0,0,0,0,0.53,0,0,0,0,0,0.0002,0,0,0.0003,0,0,0,0,0.007,0.0125,0.0001,0.9999,1.0001,0,83
2010,Eritrea,ERI,78516,209378,2721914,0,0,3009808,0,0,0,0,0,2100000,0,0,0,0,0,0,2100000,0,0,0,0,0,1047,0,0,1419,0,0,0,0,39500,66898,15778,5218672,5234450,0.015,0.04,0.52,0,0,0.575,0,0,0,0,0,0.4012,0,0,0,0,0,0,0.4012,0,0,0,0,0,0.0002,0,0,0.0003,0,0,0,0,0.0075,0.0128,0.003,0.997,1,0,83
1975,Angola,ANG,489840,3325332,0,2550,1469520,5287242,0,0,0,0,0,0,0,0,0,0,0,24418,24418,0,0,655,655,0,0,0,0,450,0,0,0,0,780884,20000,9351,6113649,6123000,0.08,0.5431,0,0.0004,0.24,0.8635,0,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.1275,0.0033,0.0015,0.9985,1,0,99
1980,Angola,ANG,634950,3860450,0,2600,1754750,6252750,0,0,0,0,0,0,0,0,0,0,0,46836,46836,0,0,728,728,0,0,0,0,600,0,0,0,0,683500,30000,4586,7014414,7019000,0.0905,0.55,0,0.0004,0.25,0.8908,0,0,0,0,0,0,0,0,0,0,0,0.0067,0.0067,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0974,0.0043,0.0007,0.9993,1.0001,0,7
1985,Angola,ANG,800300,4481680,0,2650,2000750,7285380,0,0,0,0,0,0,0,0,0,0,0,69254,69254,0,0,809,809,0,0,0,0,800,0,0,0,0,598260,45000,3497,7999503,8003000,0.1,0.56,0,0.0003,0.25,0.9103,0,0,0,0,0,0,0,0,0,0,0,0.0087,0.0087,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0748,0.0056,0.0004,0.9996,1,0,2
1990,Angola,ANG,1300000,5600000,0,2700,2404800,9307500,0,0,0,0,0,0,0,0,0,0,0,91671,91671,0,0,900,900,0,0,0,0,1000,0,0,0,80,513020,60000,45829,9974171,10020000,0.1297,0.5589,0,0.0003,0.24,0.9289,0,0,0,0,0,0,0,0,0,0,0,0.0091,0.0091,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0512,0.006,0.0046,0.9954,1,0,7
1995,Angola,ANG,1963200,6381440,0,16350,1514240,9875230,0,0,0,0,0,0,0,0,0,0,0,114089,114089,0,0,1000,1000,0,0,0,0,1195,0,0,0,0,578299,86599,159588,10656412,10816000,0.1815,0.59,0,0.0015,0.14,0.913,0,0,0,0,0,0,0,0,0,0,0,0.0105,0.0105,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0535,0.008,0.0148,0.9852,1,0,1
2000,Angola,ANG,1926727,8005243,0,25000,882565,10839535,0,0,0,0,0,0,0,0,0,0,0,130000,130000,0,0,1101,1101,0,0,0,0,1391,0,0,0,109,975000,250000,680864,12197136,12878000,0.1496,0.6216,0,0.0019,0.0685,0.8417,0,0,0,0,0,0,0,0,0,0,0,0.0101,0.0101,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0757,0.0194,0.0529,0.9471,1,0,13
2005,Angola,ANG,4320280,9804000,0,30000,875000,15029280,0,0,0,0,0,0,0,0,0,0,0,175000,175000,0,0,1200,1200,0,0,0,0,1811,0,0,0,142,1100000,267000,43567,16574433,16618000,0.26,0.59,0,0.0018,0.0527,0.9044,0,0,0,0,0,0,0,0,0,0,0,0.0105,0.0105,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0662,0.0161,0.0026,0.9974,1,0,83
2010,Angola,ANG,4396260,11850789,0,37800,750000,17034849,0,0,0,0,0,0,0,0,0,0,0,198750,198750,0,0,1634,1634,0,0,0,0,2064,0,0,0,162,1450000,342000,84717,19029459,19114176,0.23,0.62,0,0.002,0.0392,0.8912,0,0,0,0,0,0,0,0,0,0,0,0.0104,0.0104,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0759,0.0179,0.0044,0.9956,1,0,83
1975,Mozambique,MZM,367767,2850557,2200,36397,548944,3805865,0,0,0,190,190,0,0,0,0,0,0,1240000,1240000,0,0,148,148,0,5050,0,0,1000,0,0,0,0,4020070,7500,39177,9079823,9119000,0.0403,0.3126,0.0002,0.004,0.0602,0.4174,0,0,0,0,0,0,0,0,0,0,0,0.136,0.136,0,0,0,0,0,0.0006,0,0,0.0001,0,0,0,0,0.4408,0.0008,0.0043,0.9957,1,0,99
1980,Mozambique,MZM,570600,2830700,2000,62200,1234500,4700000,0,0,0,180,180,0,0,0,0,0,0,1815450,1815450,0,0,295,295,0,5000,0,0,1400,0,0,0,141,5567380,12000,1154,12101846,12103000,0.0471,0.2339,0.0002,0.0051,0.102,0.3883,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0.0004,0,0,0.0001,0,0,0,0,0.46,0.001,0.0001,0.9999,0.9999,0,7
1985,Mozambique,MZM,805300,2513000,1250,68600,1573850,4962000,0,0,0,170,170,0,0,0,0,0,0,2080200,2080200,0,0,443,443,0,13500,0,0,1800,0,0,0,270,6727000,33500,49117,13818883,13868000,0.0581,0.1812,0.0001,0.0049,0.1135,0.3578,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0.001,0,0,0.0001,0,0,0,0,0.4851,0.0024,0.0035,0.9965,0.9999,0,13
1990,Mozambique,MZM,1200000,2290000,500,75000,1818500,5384000,0,0,0,160,160,0,0,0,0,0,0,2264160,2264160,0,0,591,591,0,22000,0,0,2200,0,0,0,516,6367950,55000,54423,14096577,14151000,0.0848,0.1618,0,0.0053,0.1285,0.3805,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0,0,0,0,0,0.0016,0,0,0.0002,0,0,0,0,0.45,0.0039,0.0038,0.9962,1,0,7
1995,Mozambique,MZM,1857447,3164300,790,96933,2313450,7432920,0,0,0,178,178,0,0,0,0,0,0,2787680,2787680,0,0,738,738,0,26842,0,0,2310,0,0,0,987,6794970,69792,306583,17116417,17423000,0.1066,0.1816,0,0.0056,0.1328,0.4266,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0,0,0,0,0,0.0015,0,0,0.0001,0,0,0,0.0001,0.39,0.004,0.0176,0.9824,0.9999,0,1
2000,Mozambique,MZM,1950000,3527000,1080,118867,1975000,7571947,0,0,0,197,197,4286304,43296,0,0,0,0,0,4329600,0,0,886,886,0,31685,0,0,2421,0,0,0,1889,7365956,102500,272919,19407081,19680000,0.0991,0.1792,0.0001,0.006,0.1004,0.3848,0,0,0,0,0,0.2178,0.0022,0,0,0,0,0,0.22,0,0,0,0,0,0.0016,0,0,0.0001,0,0,0,0.0001,0.3743,0.0052,0.0139,0.9861,1,0,13
2005,Mozambique,MZM,2250000,4187350,0,262116,2047200,8746666,0,0,0,194,194,4171760,52240,0,0,0,0,0,4224000,0,0,1695,1695,0,31266,0,0,2389,0,0,0,3612,6032500,136890,240788,19179212,19420000,0.1159,0.2156,0,0.0135,0.1054,0.4504,0,0,0,0,0,0.2148,0.0027,0,0,0,0,0,0.2175,0,0,0.0001,0.0001,0,0.0016,0,0,0.0001,0,0,0,0.0002,0.3106,0.007,0.0124,0.9876,0.9999,0,200
2010,Mozambique,MZM,4897500,5315750,747,126027,0,10340024,0,0,0,218,218,5233075,87367,0,0,0,0,0,5320442,0,0,1900,1900,0,35165,0,0,2686,0,0,0,4063,5850000,192300,95052,21746798,21841850,0.2242,0.2434,0,0.0058,0,0.4734,0,0,0,0,0,0.2396,0.004,0,0,0,0,0,0.2436,0,0,0.0001,0.0001,0,0.0016,0,0,0.0001,0,0,0,0.0002,0.2678,0.0088,0.0044,0.9956,1,0,350
1965,Zambia,ZAM,124069,628000,5310,73862,1527032,2358273,0,0,0,827,827,0,0,0,0,0,0,11685,11685,0,0,0,0,0,6949,0,0,8388,0,0,0,1059,1300000,7812,7,3694993,3695000,0.0336,0.17,0.0014,0.02,0.4133,0.6382,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0032,0.0032,0,0,0,0,0,0.0019,0,0,0.0023,0,0,0,0.0003,0.3518,0.0021,0,1,1,0,20
1970,Zambia,ZAM,303441,942964,5340,86879,1498730,2837354,0,0,0,818,818,0,0,0,0,0,0,13307,13307,0,0,0,0,0,7883,0,0,10553,0,0,0,1352,1355873,10256,604,4237396,4238000,0.0716,0.2225,0.0013,0.0205,0.3536,0.6695,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0031,0.0031,0,0,0,0,0,0.0019,0,0,0.0025,0,0,0,0.0003,0.3199,0.0024,0.0001,0.9999,0.9999,0,7
1975,Zambia,ZAM,742135,1247917,5370,92189,1380545,3468156,0,0,0,809,809,0,0,0,0,0,0,14153,14153,0,0,1800,1800,0,8941,0,0,13276,0,0,0,1727,1370040,13128,970,4892030,4893000,0.1517,0.255,0.0011,0.0188,0.2821,0.7088,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0029,0.0029,0,0,0.0004,0.0004,0,0.0018,0,0,0.0027,0,0,0,0.0004,0.28,0.0027,0.0002,0.9998,1.0001,0,99
1980,Zambia,ZAM,1180830,1556870,5400,117500,1262360,4122960,0,0,0,800,800,0,0,0,0,0,0,17000,17000,0,0,1800,1800,0,10000,0,0,16000,0,0,0,2205,1549260,16000,1975,5736025,5738000,0.2058,0.2713,0.0009,0.0205,0.22,0.7185,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.003,0.003,0,0,0.0003,0.0003,0,0.0017,0,0,0.0028,0,0,0,0.0004,0.27,0.0028,0.0003,0.9997,0.9999,0,7
1985,Zambia,ZAM,1460415,1953435,5700,133750,1346700,4900000,0,0,0,900,900,0,0,0,0,0,0,48500,48500,0,0,1800,1800,0,10000,0,0,68000,0,0,0,2817,1600000,17500,75483,6649517,6725000,0.2172,0.2905,0.0008,0.0199,0.2003,0.7286,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0072,0.0072,0,0,0.0003,0.0003,0,0.0015,0,0,0.0101,0,0,0,0.0004,0.2379,0.0026,0.0112,0.9888,0.9999,0,13
1990,Zambia,ZAM,1940000,2150000,6000,150000,1834800,6080800,0,0,0,1000,1000,0,0,0,0,0,0,80000,80000,0,0,2400,2400,0,10000,0,0,120000,0,0,0,3597,1372410,19000,383793,7689207,8073000,0.2403,0.2663,0.0007,0.0186,0.2273,0.7532,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0099,0.0099,0,0,0.0003,0.0003,0,0.0012,0,0,0.0149,0,0,0,0.0004,0.17,0.0024,0.0475,0.9525,0.9999,0,7
1995,Zambia,ZAM,2201195,2304505,6605,120845,1776850,6410000,0,0,0,1091,1091,0,0,0,0,0,0,89054,89054,0,0,2575,2575,0,11235,0,0,144355,0,0,0,4594,1050530,17935,349631,7731369,8081000,0.2724,0.2852,0.0008,0.015,0.2199,0.7932,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.011,0.011,0,0,0.0003,0.0003,0,0.0014,0,0,0.0179,0,0,0,0.0006,0.13,0.0022,0.0433,0.9567,1,0,1
2000,Zambia,ZAM,2702206,2748000,7210,135751,1920000,7513167,0,0,0,1183,1183,58000,4500,0,0,0,0,0,62500,0,0,2751,2751,0,12470,0,0,150000,0,0,0,5868,1395026,18871,7164,9161836,9169000,0.2947,0.2997,0.0008,0.0148,0.2094,0.8194,0,0,0,0.0001,0.0001,0.0063,0.0005,0,0,0,0,0,0.0068,0,0,0.0003,0.0003,0,0.0014,0,0,0.0164,0,0,0,0.0006,0.1521,0.0021,0.0008,0.9992,1,0,13
2005,Zambia,ZAM,3348426,4058492,11484,146045,2389222,9953669,0,0,0,1522,1522,57205,5200,0,0,0,0,0,62405,0,0,3512,3512,0,57205,0,0,135000,0,0,0,0,1200000,20559,7128,11433872,11441000,0.2927,0.3547,0.001,0.0128,0.2088,0.87,0,0,0,0.0001,0.0001,0.005,0.0005,0,0,0,0,0,0.0055,0,0,0.0003,0.0003,0,0.005,0,0,0.0118,0,0,0,0,0.1049,0.0018,0.0006,0.9994,1,0,83
2010,Zambia,ZAM,3816303,4625587,13088,166452,2723069,11344499,0,0,0,1682,1682,65198,5926,0,0,0,0,0,71124,0,0,3912,3912,0,65198,0,0,145000,0,0,0,0,1367676,23431,17134,13022522,13039656,0.2927,0.3547,0.001,0.0128,0.2088,0.87,0,0,0,0.0001,0.0001,0.005,0.0005,0,0,0,0,0,0.0055,0,0,0.0003,0.0003,0,0.005,0,0,0.0111,0,0,0,0,0.1049,0.0018,0.0013,0.9987,1,0,83
1965,Zimbabwe,ZIM,645924,402750,2240,129604,979481,2159999,0,0,0,4465,4465,0,0,0,0,0,0,42959,42959,0,0,0,0,0,3140,0,0,8003,0,0,0,0,2206000,7621,42813,4432187,4475000,0.1443,0.09,0.0005,0.029,0.2189,0.4827,0,0,0,0.001,0.001,0,0,0,0,0,0,0.0096,0.0096,0,0,0,0,0,0.0007,0,0,0.0018,0,0,0,0,0.493,0.0017,0.0096,0.9904,1.0001,0,20
1970,Zimbabwe,ZIM,743400,531000,2587,159300,1337219,2773506,0,0,0,5305,5305,0,0,0,0,0,0,50976,50976,0,0,0,0,0,3722,0,0,9877,0,0,0,0,2442600,9197,14817,5295183,5310000,0.14,0.1,0.0005,0.03,0.2518,0.5223,0,0,0,0.001,0.001,0,0,0,0,0,0,0.0096,0.0096,0,0,0,0,0,0.0007,0,0,0.0019,0,0,0,0,0.46,0.0017,0.0028,0.9972,1,0,7
1975,Zimbabwe,ZIM,943200,741450,2934,195800,1606869,3490253,0,0,0,6302,6302,0,0,0,0,0,0,60488,60488,0,0,175,175,0,4411,0,0,12188,0,0,0,62,2637600,11098,57423,6222577,6280000,0.1502,0.1181,0.0005,0.0312,0.2559,0.5558,0,0,0,0.001,0.001,0,0,0,0,0,0,0.0096,0.0096,0,0,0,0,0,0.0007,0,0,0.0019,0,0,0,0,0.42,0.0018,0.0091,0.9909,0.9999,0,99
1980,Zimbabwe,ZIM,1143000,951900,3281,232300,2016519,4347000,0,0,0,7300,7300,0,0,0,0,0,0,70000,70000,0,0,350,350,0,5100,0,0,14500,0,0,0,124,2625520,13000,13106,7082894,7096000,0.1611,0.1341,0.0005,0.0327,0.2842,0.6126,0,0,0,0.001,0.001,0,0,0,0,0,0,0.0099,0.0099,0,0,0,0,0,0.0007,0,0,0.002,0,0,0,0,0.37,0.0018,0.0018,0.9982,0.9998,0,7
1985,Zimbabwe,ZIM,1196500,930950,3628,253650,3063129,5447857,0,0,0,8350,8350,0,0,0,0,0,0,75000,75000,0,0,525,525,0,9300,0,0,21750,0,0,0,187,2681280,49000,85751,8293249,8379000,0.1428,0.1111,0.0004,0.0303,0.3656,0.6502,0,0,0,0.001,0.001,0,0,0,0,0,0,0.009,0.009,0,0,0.0001,0.0001,0,0.0011,0,0,0.0026,0,0,0,0,0.32,0.0058,0.0102,0.9898,1,0,13
1990,Zimbabwe,ZIM,1250000,910000,3974,275000,4109740,6548714,0,0,0,9400,9400,0,0,0,0,0,0,80000,80000,0,0,700,700,0,13500,0,0,29000,0,0,0,249,2370067,85000,232370,9136630,9369000,0.1334,0.0971,0.0004,0.0294,0.4387,0.699,0,0,0,0.001,0.001,0,0,0,0,0,0,0.0085,0.0085,0,0,0.0001,0.0001,0,0.0014,0,0,0.0031,0,0,0,0,0.253,0.0091,0.0248,0.9752,1,0,7
1995,Zimbabwe,ZIM,1728900,1001692,4321,289197,5247740,8271850,0,0,0,10132,10132,0,0,0,0,0,0,82767,82767,0,0,437,437,0,15385,0,0,32995,0,0,0,311,2650980,110851,350292,11175708,11526000,0.15,0.0869,0.0004,0.0251,0.4553,0.7177,0,0,0,0.0009,0.0009,0,0,0,0,0,0,0.0072,0.0072,0,0,0,0,0,0.0013,0,0,0.0029,0,0,0,0,0.23,0.0096,0.0304,0.9696,1,0,1
2000,Zimbabwe,ZIM,1436816,1118664,4668,303394,4700441,7563983,0,0,0,10864,10864,83358,842,0,0,0,0,0,84200,0,0,175,175,0,17270,0,0,33000,0,0,0,373,3100000,175000,684135,10984865,11669000,0.1231,0.0959,0.0004,0.026,0.4028,0.6482,0,0,0,0.0009,0.0009,0.0071,0.0001,0,0,0,0,0,0.0072,0,0,0,0,0,0.0015,0,0,0.0028,0,0,0,0,0.2657,0.015,0.0586,0.9414,0.9999,0,13
2005,Zimbabwe,ZIM,2180000,2005000,0,250000,5430000,9865000,0,0,0,11432,11432,70968,1182,0,0,0,0,0,72150,0,0,184,184,0,17939,0,0,20000,0,0,0,392,1695000,253000,436903,11935097,12372000,0.1762,0.1621,0,0.0202,0.4389,0.7974,0,0,0,0.0009,0.0009,0.0057,0.0001,0,0,0,0,0,0.0058,0,0,0,0,0,0.0014,0,0,0.0016,0,0,0,0,0.137,0.0204,0.0353,0.9647,0.9998,0,200
2010,Zimbabwe,ZIM,2396453,2305000,44732,564757,4650237,9961179,0,0,0,11326,11326,128311,2137,0,0,0,0,0,130448,0,0,182,182,0,18005,0,0,25200,0,0,0,389,1647295,311930,59339,12105955,12165294,0.197,0.1895,0.0037,0.0464,0.3823,0.8188,0,0,0,0.0009,0.0009,0.0105,0.0002,0,0,0,0,0,0.0107,0,0,0,0,0,0.0015,0,0,0.0021,0,0,0,0,0.1354,0.0256,0.0049,0.9951,0.9999,0,350
1965,Malawi,MAW,763776,750000,901,40000,645321,2199998,0,0,0,67,67,0,0,0,0,0,0,750000,750000,0,0,0,0,0,4517,168,0,7217,0,0,0,0,942056,425,3552,3904448,3908000,0.1954,0.1919,0.0002,0.0102,0.1651,0.5629,0,0,0,0,0,0,0,0,0,0,0,0.1919,0.1919,0,0,0,0,0,0.0012,0,0,0.0018,0,0,0,0,0.2411,0.0001,0.0009,0.9991,0.9999,0,15
1970,Malawi,MAW,976252,1009892,1018,77841,644380,2709383,0,0,0,82,82,0,0,0,0,0,0,750216,750216,0,0,0,0,0,5067,203,0,8521,0,0,0,0,1131647,507,374,4605626,4606000,0.212,0.2193,0.0002,0.0169,0.1399,0.5882,0,0,0,0,0,0,0,0,0,0,0,0.1629,0.1629,0,0,0,0,0,0.0011,0,0,0.0018,0,0,0,0,0.2457,0.0001,0.0001,0.9999,0.9999,0,7
1975,Malawi,MAW,1207836,1208546,1149,94670,752490,3264691,0,0,0,100,100,0,0,0,0,0,0,826858,826858,0,0,0,0,0,5683,244,0,10060,0,0,0,0,1099560,603,28201,5207799,5236000,0.2307,0.2308,0.0002,0.0181,0.1437,0.6235,0,0,0,0,0,0,0,0,0,0,0,0.1579,0.1579,0,0,0,0,0,0.0011,0,0,0.0019,0,0,0,0,0.21,0.0001,0.0054,0.9946,0.9999,0,99
1980,Malawi,MAW,1519420,1407200,1280,111500,860600,3900000,0,0,0,117,117,0,0,0,0,0,0,903500,903500,0,0,0,0,0,6300,286,0,11600,0,0,0,0,1209200,700,14297,6031703,6046000,0.2513,0.2327,0.0002,0.0184,0.1423,0.6451,0,0,0,0,0,0,0,0,0,0,0,0.1494,0.1494,0,0,0,0,0,0.001,0,0,0.0019,0,0,0,0,0.2,0.0001,0.0024,0.9976,0.9999,0,7
1985,Malawi,MAW,1629613,1684800,1737,134000,1038200,4488350,0,0,0,135,135,0,0,0,0,0,0,1411800,1411800,0,0,0,0,0,10867,327,0,13733,0,0,0,0,1058850,7133,67805,6991195,7059000,0.2309,0.2387,0.0002,0.019,0.1471,0.6358,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.0015,0,0,0.0019,0,0,0,0,0.15,0.001,0.0096,0.9904,0.9998,0,2
1990,Malawi,MAW,1779807,1962400,2193,156500,1452020,5352920,0,0,0,152,152,0,0,0,0,0,0,1657800,1657800,0,0,0,0,0,15433,369,0,15867,0,0,0,0,1143350,13567,89542,8199458,8289000,0.2147,0.2367,0.0003,0.0189,0.1752,0.6458,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.0019,0,0,0.0019,0,0,0,0,0.1379,0.0016,0.0108,0.9892,0.9999,0,2
1995,Malawi,MAW,2149120,2375000,3075,198750,2004430,6730375,0,0,0,183,183,0,0,0,0,0,0,1566080,1566080,0,0,0,0,0,21689,478,0,21564,0,0,0,0,1123106,24514,300011,9487989,9788000,0.2196,0.2426,0.0003,0.0203,0.2048,0.6876,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0,0,0,0,0,0.0022,0,0,0.0022,0,0,0,0,0.1147,0.0025,0.0307,0.9693,0.9999,0,1
2000,Malawi,MAW,2143578,2692417,3500,218500,1832914,6890909,0,0,0,197,197,1607372,80772,0,0,0,0,0,1688144,0,0,0,0,0,23379,546,0,25128,0,0,0,0,1450000,55000,791697,10133303,10925000,0.1962,0.2464,0.0003,0.02,0.1678,0.6307,0,0,0,0,0,0.1471,0.0074,0,0,0,0,0,0.1545,0,0,0,0,0,0.0021,0,0,0.0023,0,0,0,0,0.1327,0.005,0.0725,0.9275,0.9998,0,13
2005,Malawi,MAW,3825710,2832866,3500,246820,1755500,8664396,0,0,0,237,237,1750000,51506,0,0,0,0,0,1801506,0,0,0,0,0,28137,658,0,30235,0,0,0,0,1650000,75000,90831,12250169,12341000,0.31,0.2295,0.0003,0.02,0.1422,0.7021,0,0,0,0,0,0.1418,0.0042,0,0,0,0,0,0.146,0,0,0,0,0,0.0023,0.0001,0,0.0024,0,0,0,0,0.1337,0.0061,0.0074,0.9926,1.0001,0,200
2010,Malawi,MAW,4482817,3619442,4101,289214,2057026,10452600,0,0,0,278,278,2050581,60353,0,0,0,0,0,2110934,0,0,0,0,0,32970,771,0,35428,0,0,0,0,1733405,87882,6431,14454268,14460699,0.31,0.2503,0.0003,0.02,0.1422,0.7228,0,0,0,0,0,0.1418,0.0042,0,0,0,0,0,0.146,0,0,0,0,0,0.0023,0.0001,0,0.0024,0,0,0,0,0.1199,0.0061,0.0004,0.9996,1,0,350
1945,South Africa,SAF,1996728,622901,5464,415758,3356850,6397701,0,0,0,59997,59997,0,0,0,0,0,0,67655,67655,0,0,53,53,0,136246,1536,0,0,0,0,0,831,4571458,7396,22127,11242873,11265000,0.1773,0.0553,0.0005,0.0369,0.298,0.5679,0,0,0,0.0053,0.0053,0,0,0,0,0,0,0.006,0.006,0,0,0,0,0,0.0121,0.0001,0,0,0,0,0,0.0001,0.4058,0.0007,0.002,0.998,1,0,13
1950,South Africa,SAF,3160600,681472,8758,602943,3726100,8179873,0,0,0,75867,75867,0,0,0,0,0,0,102088,102088,0,0,194,194,0,194326,1943,0,10,0,0,0,973,4733353,19918,1455,13308545,13310000,0.2375,0.0512,0.0007,0.0453,0.2799,0.6146,0,0,0,0.0057,0.0057,0,0,0,0,0,0,0.0077,0.0077,0,0,0,0,0,0.0146,0.0001,0,0,0,0,0,0.0001,0.3556,0.0015,0.0001,0.9999,1,0,7
1955,South Africa,SAF,3727750,745550,14036,745550,4671520,9904406,0,0,0,95933,95933,0,0,0,0,0,0,154044,154044,0,0,707,707,0,277163,2457,0,3825,0,0,0,1139,4350176,53634,67516,14843484,14911000,0.25,0.05,0.0009,0.05,0.3133,0.6642,0,0,0,0.0064,0.0064,0,0,0,0,0,0,0.0103,0.0103,0,0,0,0,0,0.0186,0.0002,0,0.0003,0,0,0,0.0001,0.2917,0.0036,0.0045,0.9955,0.9999,0,99
1960,South Africa,SAF,5136600,856100,19314,856100,5650260,12518374,0,0,0,116000,116000,0,0,0,0,0,0,206000,206000,0,0,1220,1220,0,360000,2971,0,7641,0,0,0,1305,3767000,87350,54139,17067861,17122000,0.3,0.05,0.0011,0.05,0.33,0.7311,0,0,0,0.0068,0.0068,0,0,0,0,0,0,0.012,0.012,0,0,0.0001,0.0001,0,0.021,0.0002,0,0.0004,0,0,0,0.0001,0.22,0.0051,0.0032,0.9968,1,0,12
